market_code;location
Mark001;"13.0826802,80.2707184"
Mark002;"19.0759837,72.8776559"
Mark003;"23.022505,72.5713621"
Mark004;"28.7040592,77.1024901999999"
Mark005;"26.449923,80.3318736"
Mark006;"12.9715987,77.5945627"
Mark007;"23.2599333,77.412615"
Mark008;"26.8466937,80.9461659999999"
Mark009;"25.5940947,85.1375645"
Mark010;"9.9312328,76.2673040999999"
Mark011;"21.1458004,79.0881546"
Mark012;"21.1702401,72.8310607"
Mark013;"23.2599333,77.412615"
Mark014;"17.406498,78.4772438999999"
Mark015;"20.2960587,85.8245398"
Mark097;"40.7127753,-74.0059728"
Mark999;"48.856614,2.3522219"
